City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
172,Valley City,US,46.9233,-98.0032,28.92,100,0,9.22,clear sky
173,Moroni,KM,-11.7022,43.2551,81.97,75,19,3.76,light rain
174,Ostrovnoy,RU,68.0531,39.5131,21.63,84,99,9.19,overcast clouds
175,Caravelas,BR,-17.7125,-39.2481,83.95,64,15,6.38,few clouds
176,Elat,IL,29.5581,34.9482,93.04,10,100,23.02,dust
177,Baruun-Urt,MN,46.6806,113.2792,46.65,21,100,1.07,overcast clouds
178,Plettenberg Bay,ZA,-34.0527,23.3716,67.64,71,98,4.88,overcast clouds
179,Ashta,IN,23.0167,76.7167,92.25,11,5,7.16,clear sky
180,Adelaide,AU,-34.9333,138.6,60.17,74,0,5.75,clear sky
181,San Patricio,US,28.017,-97.5169,73.92,79,0,7.29,clear sky
182,Moose Factory,CA,51.2585,-80.6094,24.8,54,75,13.8,broken clouds
183,Chunskiy,RU,56.0815,99.6342,19.67,88,68,1.7,broken clouds
184,Camargo,MX,27.6667,-105.1667,65.57,17,95,3.0,overcast clouds
185,Cherskiy,RU,68.75,161.3,-4.14,99,100,4.41,overcast clouds
186,Airai,TL,-8.9266,125.4092,58.93,88,100,1.41,overcast clouds
187,Ipameri,BR,-17.7219,-48.1597,81.64,46,0,9.89,clear sky
188,Port Hardy,CA,50.6996,-127.4199,39.2,93,100,3.44,overcast clouds
189,Yenotayevka,RU,47.2456,47.0281,65.73,39,100,7.9,overcast clouds
190,Xinmin,CN,41.9908,122.8253,49.91,43,0,21.72,clear sky
191,Te Anau,NZ,-45.4167,167.7167,48.18,83,66,0.51,broken clouds
192,New Norfolk,AU,-42.7826,147.0587,56.7,87,99,0.31,overcast clouds
193,Riyadh,SA,24.6877,46.7219,96.94,7,40,12.17,scattered clouds
194,Korla,CN,41.7597,86.1469,62.8,21,0,1.39,clear sky
195,Richards Bay,ZA,-28.783,32.0377,79.65,71,100,8.84,overcast clouds
196,Castro,BR,-24.7911,-50.0119,64.06,90,100,8.79,overcast clouds
197,Meulaboh,ID,4.1363,96.1285,73.17,92,100,8.77,overcast clouds
198,Trapani,IT,37.8333,12.6667,56.28,58,20,10.36,few clouds
199,Havelock,US,34.8791,-76.9013,66.94,63,0,11.5,clear sky
200,Derzhavinsk,KZ,51.1,66.3167,37.18,100,100,10.71,overcast clouds
201,Kaduqli,SD,11.0167,29.7167,106.16,7,22,6.33,few clouds
202,Chapais,CA,49.7834,-74.8492,31.78,92,100,3.6,overcast clouds
203,Torbay,CA,47.6666,-52.7314,38.57,89,100,19.57,light intensity shower rain
204,San Ignacio,BZ,17.1561,-89.0714,78.94,78,0,0.0,clear sky
205,Faya,SA,18.3851,42.4509,77.11,21,1,4.7,clear sky
206,Kavieng,PG,-2.5744,150.7967,81.36,79,89,6.51,light rain
207,Buraydah,SA,26.326,43.975,97.25,6,100,1.36,overcast clouds
208,Lata,PT,40.1629,-8.3327,57.81,24,1,11.77,clear sky
209,Bayangol,RU,50.6977,103.4656,25.54,90,100,3.27,overcast clouds
210,Saldanha,ZA,-33.0117,17.9442,77.05,63,0,9.1,clear sky
211,Ojinaga,MX,29.5667,-104.4167,68.95,52,0,3.44,clear sky
212,Nioro,GM,13.35,-15.75,94.95,18,99,7.94,overcast clouds
213,Solnechnyy,RU,50.7214,136.6319,36.07,86,100,7.96,overcast clouds
214,Calvinia,ZA,-31.4707,19.776,73.54,25,88,11.88,overcast clouds
215,Zeya,RU,53.75,127.2667,35.83,87,78,8.03,broken clouds
216,Evensk,RU,61.95,159.2333,7.03,84,30,6.35,scattered clouds
217,Laramie,US,41.3114,-105.5911,39.52,52,0,5.75,clear sky
218,Ubatuba,BR,-23.4339,-45.0711,79.21,80,40,5.01,scattered clouds
219,Pueblo Nuevo,MX,23.3833,-105.3833,56.93,23,34,4.41,scattered clouds
220,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,35,0,19.57,clear sky
221,Xining,CN,36.6167,101.7667,48.52,19,100,14.32,overcast clouds
222,Hedaru,TZ,-4.5,37.9,88.09,38,92,9.93,overcast clouds
223,Kaitangata,NZ,-46.2817,169.8464,47.3,95,63,4.92,broken clouds
224,Masvingo,ZW,-20.0637,30.8277,79.45,47,81,8.68,broken clouds
225,Ahipara,NZ,-35.1667,173.1667,62.24,91,2,2.82,clear sky
226,Nakambala,ZM,-15.8324,27.7799,75.85,72,97,5.28,light rain
227,Codrington,AU,-38.2667,141.9667,58.78,89,96,5.14,overcast clouds
228,Selma,US,36.5708,-119.6121,57.25,85,100,3.22,overcast clouds
229,Sampit,ID,-2.5333,112.95,75.27,96,34,2.66,scattered clouds
230,Satellite Beach,US,28.1761,-80.5901,75.06,80,0,12.66,clear sky
231,Mount Gambier,AU,-37.8333,140.7667,49.91,100,11,4.61,few clouds
232,Snyder,US,32.7179,-100.9176,66.09,39,0,14.97,clear sky
233,Bundaberg,AU,-24.85,152.35,70.21,92,2,3.44,clear sky
234,Lichinga,MZ,-13.3128,35.2406,64.49,88,75,4.61,thunderstorm with light rain
235,Sankheda,IN,22.1667,73.5833,94.78,15,0,8.43,clear sky
236,Cabedelo,BR,-6.9811,-34.8339,86.67,73,22,14.99,few clouds
