City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
108,Komsomolskiy,UZ,2022-03-27 20:54:58,40.4272,71.7189,47.12,61,5,6.91
109,Lensk,RU,2022-03-27 20:59:38,60.7253,114.9278,14.72,94,100,10.56
110,Avarua,CK,2022-03-27 20:51:01,-21.2078,-159.775,82.45,78,20,9.22
111,Burnie,AU,2022-03-27 20:52:50,-41.0667,145.9167,59.94,95,100,5.95
112,Naze,JP,2022-03-27 20:55:31,28.3667,129.4833,56.32,62,95,14.07
113,Hammerfest,NO,2022-03-27 20:59:39,70.6634,23.6821,16.25,67,0,6.91
114,Ponta Do Sol,PT,2022-03-27 20:56:44,32.6667,-17.1,63.05,79,12,6.02
115,Timbiqui,CO,2022-03-27 20:59:39,2.7717,-77.6654,81.19,76,70,5.73
116,Strezhevoy,RU,2022-03-27 20:59:40,60.7333,77.5889,3.61,99,73,5.64
117,Bengkulu,ID,2022-03-27 20:59:27,-3.8004,102.2655,74.48,90,75,5.59
118,Tongling,CN,2022-03-27 20:59:40,30.95,117.7833,48.56,87,100,5.26
119,Beringovskiy,RU,2022-03-27 20:59:41,63.05,179.3167,1.67,93,59,5.61
120,Cidreira,BR,2022-03-27 20:50:47,-30.1811,-50.2056,71.42,73,0,8.48
121,Krasnokholm,RU,2022-03-27 20:59:41,51.5979,54.1567,32.68,99,100,10.58
122,Sibiti,CG,2022-03-27 20:59:42,-3.6819,13.3499,71.42,97,35,1.25
123,Kaspiysk,RU,2022-03-27 20:59:42,42.8816,47.6392,44.78,70,44,35.99
124,Saskylakh,RU,2022-03-27 20:59:43,71.9167,114.0833,-6.38,100,100,3.76
125,Tiksi,RU,2022-03-27 20:59:43,71.6872,128.8694,-11.61,100,99,5.44
126,Turayf,SA,2022-03-27 20:59:43,31.6725,38.6637,52.05,58,0,9.22
127,Hofn,IS,2022-03-27 20:51:04,64.2539,-15.2082,32.88,78,100,9.01
128,Mahebourg,MU,2022-03-27 20:55:08,-20.4081,57.7,79.09,83,40,1.14
129,Saint George,US,2022-03-27 20:57:46,37.1041,-113.5841,84.43,9,86,13.0
130,Dagda,LV,2022-03-27 20:59:45,56.0951,27.5372,27.93,55,100,6.2
131,Hobart,AU,2022-03-27 20:57:34,-42.8794,147.3294,61.05,77,0,6.91
132,Torbay,CA,2022-03-27 20:53:43,47.6666,-52.7314,42.28,92,100,17.27
133,Araouane,ML,2022-03-27 20:59:45,18.9048,-3.5265,85.59,16,56,10.89
134,Hokitika,NZ,2022-03-27 20:59:46,-42.7167,170.9667,62.51,66,6,2.86
135,La Asuncion,VE,2022-03-27 20:59:46,11.0333,-63.8628,78.73,78,65,18.86
136,Maitum,PH,2022-03-27 20:59:47,6.0392,124.4986,77.04,84,82,2.53
137,Lebu,CL,2022-03-27 20:56:53,-37.6167,-73.65,59.11,70,0,12.08
138,Cayenne,GF,2022-03-27 20:52:24,4.9333,-52.3333,81.09,1,75,13.8
139,Arman,RU,2022-03-27 20:56:02,59.7,150.1667,5.18,80,100,10.98
140,Coquimbo,CL,2022-03-27 21:00:37,-29.9533,-71.3436,66.2,73,24,6.38
141,Khash,IR,2022-03-27 21:00:49,28.2211,61.2158,65.01,20,0,9.91
142,Libreville,GA,2022-03-27 20:59:34,0.3925,9.4537,80.98,85,49,5.75
143,Inuvik,CA,2022-03-27 21:00:29,68.3499,-133.7218,0.73,87,34,3.67
144,Gizo,SB,2022-03-27 20:52:25,-8.103,156.8419,81.97,78,85,5.53
145,Khatanga,RU,2022-03-27 20:58:22,71.9667,102.5,-22.99,100,97,1.74
146,Cherskiy,RU,2022-03-27 20:53:36,68.75,161.3,0.48,97,100,7.25
147,Marathon,US,2022-03-27 21:00:51,44.9,-89.7668,27.64,34,0,14.97
148,Constitucion,CL,2022-03-27 20:56:02,-35.3333,-72.4167,63.39,68,73,15.64
149,Port-Gentil,GA,2022-03-27 21:00:51,-0.7193,8.7815,81.52,85,73,11.65
150,Inhambane,MZ,2022-03-27 21:00:52,-23.865,35.3833,74.37,84,3,7.4
151,Atuona,PF,2022-03-27 21:00:52,-9.8,-139.0333,79.23,76,45,14.72
152,Bar Harbor,US,2022-03-27 21:00:53,44.3876,-68.2039,45.99,68,60,14.0
153,Deputatskiy,RU,2022-03-27 21:00:53,69.3,139.9,-13.2,88,42,5.03
154,Altus,US,2022-03-27 21:00:54,34.6381,-99.334,83.68,18,0,0.0
155,Cabo San Lucas,MX,2022-03-27 20:56:35,22.8909,-109.9124,85.6,45,6,9.64
156,Sitka,US,2022-03-27 20:56:50,57.0531,-135.33,43.16,70,23,4.61
157,Smoky Lake,CA,2022-03-27 21:00:54,54.1169,-112.4686,30.42,83,91,6.06
158,Sao Filipe,CV,2022-03-27 20:56:12,14.8961,-24.4956,70.79,72,100,10.89
159,Fruitvale,US,2022-03-27 21:00:55,39.0817,-108.4968,84.13,13,0,3.44
160,Bemidji,US,2022-03-27 21:00:56,47.4736,-94.8803,23.92,28,0,4.61
161,San Andres,CO,2022-03-27 20:54:52,12.5847,-81.7006,86.02,62,75,12.66
162,Cap Malheureux,MU,2022-03-27 21:00:56,-19.9842,57.6142,77.47,84,0,1.99
163,Ilulissat,GL,2022-03-27 20:56:14,69.2167,-51.1,22.06,76,75,8.12
164,Medicine Hat,CA,2022-03-27 21:00:46,50.0501,-110.6683,57.52,33,99,4.27
165,Sterling,US,2022-03-27 20:57:09,39.0062,-77.4286,43.77,46,100,20.71
166,Jining,CN,2022-03-27 21:00:58,35.405,116.5814,42.67,68,94,9.13
167,Bethel,US,2022-03-27 21:00:49,41.3712,-73.414,43.54,60,100,11.99
168,Cockburn Town,TC,2022-03-27 20:57:48,21.4612,-71.1419,78.76,65,40,13.8
169,Alofi,NU,2022-03-27 20:52:40,-19.0595,-169.9187,80.49,83,75,10.36
170,Narsaq,GL,2022-03-27 20:58:05,60.9167,-46.05,33.04,63,100,9.24
171,Luderitz,NA,2022-03-27 20:56:23,-26.6481,15.1594,65.91,64,0,4.81
172,Urusha,RU,2022-03-27 21:00:59,54.05,122.9,7.95,99,80,1.63
173,Severo-Kurilsk,RU,2022-03-27 21:01:00,50.6789,156.125,32.85,89,74,20.36
174,Upernavik,GL,2022-03-27 20:54:49,72.7868,-56.1549,21.56,77,100,2.86
175,Pangnirtung,CA,2022-03-27 20:52:10,66.1451,-65.7125,14.0,92,20,4.61
176,Mount Gambier,AU,2022-03-27 21:01:01,-37.8333,140.7667,60.71,94,75,6.91
177,Point Fortin,TT,2022-03-27 21:01:02,10.1833,-61.6833,82.89,75,100,15.19
178,Mora,CM,2022-03-27 21:01:02,11.0461,14.1401,77.94,11,25,6.4
179,Tuatapere,NZ,2022-03-27 20:53:35,-46.1333,167.6833,56.89,84,5,3.04
180,Norman Wells,CA,2022-03-27 21:01:03,65.282,-126.8329,11.57,85,100,2.57
181,Saint-Louis,SN,2022-03-27 21:01:04,16.3333,-15.0,79.59,20,56,16.87
182,Ribeira Grande,PT,2022-03-27 20:57:35,38.5167,-28.7,61.2,72,20,9.22
183,Farafangana,MG,2022-03-27 21:02:05,-22.8167,47.8333,76.96,91,61,5.46
184,Grand Gaube,MU,2022-03-27 20:53:28,-20.0064,57.6608,79.2,85,1,1.01
185,Richards Bay,ZA,2022-03-27 21:02:06,-28.783,32.0377,72.99,81,92,3.44
186,Port Augusta,AU,2022-03-27 21:02:06,-32.5,137.7667,68.31,57,96,9.13
187,Marrakesh,MA,2022-03-27 21:02:07,31.6315,-8.0083,69.87,40,40,9.22
188,Touros,BR,2022-03-27 21:02:08,-5.1989,-35.4608,80.58,80,36,11.3
189,Myitkyina,MM,2022-03-27 21:02:08,25.3833,97.4,64.17,70,0,2.62
190,Souillac,MU,2022-03-27 21:02:09,-20.5167,57.5167,77.54,80,16,8.14
191,Pevek,RU,2022-03-27 21:02:10,69.7008,170.3133,-15.29,99,52,6.98
192,San Patricio,US,2022-03-27 21:02:02,28.017,-97.5169,86.18,35,100,16.35
193,Fare,PF,2022-03-27 20:54:55,-16.7,-151.0167,82.18,72,11,13.29
194,Kyra,RU,2022-03-27 21:02:11,49.5776,111.9753,17.4,83,96,4.81
195,Bosaso,SO,2022-03-27 21:02:11,11.2842,49.1816,76.59,60,1,2.91
196,Kochevo,RU,2022-03-27 21:02:12,59.5994,54.3125,30.15,96,100,6.38
197,Trelew,AR,2022-03-27 21:02:12,-43.249,-65.3051,73.06,15,0,14.67
198,Joshimath,IN,2022-03-27 20:58:36,30.5667,79.5667,53.67,41,1,7.14
199,Surovikino,RU,2022-03-27 21:02:13,48.6078,42.8486,30.51,69,100,17.65
200,Kaitangata,NZ,2022-03-27 21:02:14,-46.2817,169.8464,54.36,89,7,2.1
201,Porto Nacional,BR,2022-03-27 21:02:14,-10.7081,-48.4172,79.63,84,16,0.78
202,Hami,CN,2022-03-27 21:02:15,42.8,93.45,49.59,34,100,14.88
203,Dos Hermanas,ES,2022-03-27 21:02:15,37.2829,-5.9209,60.57,71,0,8.05
204,Lavrentiya,RU,2022-03-27 21:02:16,65.5833,-171.0,12.34,80,95,3.24
205,Haines Junction,CA,2022-03-27 21:02:16,60.7522,-137.5108,26.91,85,91,1.21
206,Gamba,GA,2022-03-27 21:01:42,-2.65,10.0,78.67,92,62,3.0
207,Shimanovsk,RU,2022-03-27 21:02:17,52.0,127.7,16.29,80,92,5.1
208,Gat,IL,2022-03-27 21:02:17,31.61,34.7642,54.81,100,1,4.05
209,Sobolevo,RU,2022-03-27 21:02:18,54.4299,31.8996,22.95,67,98,8.93
210,Port Hardy,CA,2022-03-27 20:53:29,50.6996,-127.4199,48.38,93,100,5.75
211,Katsuura,JP,2022-03-27 20:53:44,35.1333,140.3,54.9,81,71,11.27
212,Port Elizabeth,ZA,2022-03-27 21:00:16,-33.918,25.5701,68.09,97,100,1.01
213,Aleksandrov Gay,RU,2022-03-27 21:02:19,50.147,48.5704,26.37,90,69,11.59
214,Fairbanks,US,2022-03-27 20:58:07,64.8378,-147.7164,35.98,66,52,2.73
215,Kazanskoye,RU,2022-03-27 21:02:20,55.6448,69.235,15.35,97,75,7.14
216,Saint-Denis,FR,2022-03-27 21:02:21,48.9167,2.3333,60.12,43,0,8.05
217,Nhulunbuy,AU,2022-03-27 21:02:22,-12.2333,136.7667,77.61,94,75,2.3
218,Shurugwi,ZW,2022-03-27 21:02:22,-19.6702,30.0059,60.3,96,100,7.14
219,Alyangula,AU,2022-03-27 20:56:19,-13.8483,136.4192,75.07,94,89,2.3
220,Sola,VU,2022-03-27 21:02:23,-13.8833,167.55,81.86,75,98,8.86
221,Mercedes,AR,2022-03-27 21:02:23,-34.6515,-59.4307,79.65,53,0,4.54
222,Ambulu,ID,2022-03-27 21:02:24,-8.345,113.6058,75.81,88,88,2.98
223,Tibiri,NE,2022-03-27 21:02:24,13.5627,7.0485,79.11,9,28,12.33
224,Kozhva,RU,2022-03-27 21:02:25,65.1073,57.0459,23.18,96,100,7.94
225,Kokkola,FI,2022-03-27 21:02:25,63.8385,23.1307,25.03,91,100,13.8
226,Patiya,BD,2022-03-27 21:01:22,22.2931,91.9762,73.69,95,59,4.36
227,Nicoya,CR,2022-03-27 21:02:26,10.1483,-85.452,93.87,34,85,10.89
228,Ngunguru,NZ,2022-03-27 21:02:26,-35.6167,174.5,63.77,71,13,6.78
229,Asyut,EG,2022-03-27 21:02:27,27.181,31.1837,61.59,26,0,9.84
230,Hasaki,JP,2022-03-27 20:56:09,35.7333,140.8333,48.6,76,100,12.59
231,Yumen,CN,2022-03-27 21:03:27,40.2833,97.2,46.0,19,77,13.85
232,Nanortalik,GL,2022-03-27 21:03:28,60.1432,-45.2371,30.51,80,98,4.88
233,Amudat,UG,2022-03-27 21:03:28,1.95,34.95,71.1,75,100,4.29
234,Gao,ML,2022-03-27 21:00:29,16.6362,1.637,83.16,7,10,12.48
235,Loum,CM,2022-03-27 21:03:29,4.7182,9.7351,76.84,89,12,1.21
236,Mangit,UZ,2022-03-27 21:03:30,40.5971,70.9607,50.67,60,41,3.6
237,Sakaiminato,JP,2022-03-27 21:03:30,35.55,133.2333,48.13,46,100,13.89
238,Brae,GB,2022-03-27 21:03:11,60.3964,-1.353,47.48,86,2,16.75
239,Emerald,AU,2022-03-27 21:02:12,-23.5333,148.1667,64.35,90,2,4.72
240,Aasiaat,GL,2022-03-27 21:03:31,68.7098,-52.8699,20.41,76,39,13.11
241,Egvekinot,RU,2022-03-27 21:03:31,66.3167,-179.1667,0.21,89,10,2.24
242,Vestmannaeyjar,IS,2022-03-27 20:53:43,63.4427,-20.2734,46.0,90,100,20.65
243,San Fernando,PH,2022-03-27 21:03:32,15.0286,120.6898,75.76,83,32,5.03
244,Boralday,KZ,2022-03-27 21:03:32,43.3578,76.8594,40.86,87,100,6.71
245,Fortuna,US,2022-03-27 21:03:33,40.5982,-124.1573,65.93,70,0,4.61
246,Longyearbyen,SJ,2022-03-27 21:03:33,78.2186,15.6401,8.44,66,20,9.22
247,Oktyabrskoye,RU,2022-03-27 21:03:34,43.0645,44.7417,33.94,75,99,11.18
248,Bilibino,RU,2022-03-27 21:03:34,68.0546,166.4372,-3.39,98,100,1.59
249,Veraval,IN,2022-03-27 20:53:40,20.9,70.3667,77.97,71,7,11.16
250,Labuhan,ID,2022-03-27 21:03:35,-6.8844,112.2051,78.48,83,94,4.83
251,Faya,SA,2022-03-27 20:56:07,18.3851,42.4509,60.91,43,0,6.76
252,Maldonado,UY,2022-03-27 21:01:26,-34.6667,-54.9167,74.23,43,0,8.19
253,Nizwa,OM,2022-03-27 21:03:36,22.9333,57.5333,77.74,25,0,2.64
254,Den Helder,NL,2022-03-27 21:03:36,52.9599,4.7593,44.98,93,100,14.0
255,Nome,US,2022-03-27 20:59:23,64.5011,-165.4064,26.17,64,99,6.17
256,Santomera,ES,2022-03-27 21:03:37,38.0615,-1.0488,58.82,80,73,1.01
257,Kununurra,AU,2022-03-27 21:03:37,-15.7667,128.7333,76.98,94,97,0.0
258,Takoradi,GH,2022-03-27 21:03:38,4.8845,-1.7554,81.3,84,56,6.26
259,Leeton,AU,2022-03-27 21:02:13,-34.5667,146.4,64.24,75,88,5.44
260,Lompoc,US,2022-03-27 21:03:38,34.6391,-120.4579,70.61,66,100,25.32
261,Westport,US,2022-03-27 21:00:06,41.1415,-73.3579,45.32,50,100,11.99
262,Nabire,ID,2022-03-27 21:03:39,-3.3667,135.4833,74.39,93,100,7.07
263,Nemuro,JP,2022-03-27 21:03:39,43.3236,145.575,34.45,73,66,19.37
264,Tual,ID,2022-03-27 21:03:40,-5.6667,132.75,80.06,80,100,14.2
265,Kosh-Agach,RU,2022-03-27 21:03:40,50.0,88.6667,9.12,95,93,1.97
266,Idlib,SY,2022-03-27 21:03:41,35.9306,36.6339,40.89,65,0,5.01
267,Caninde,BR,2022-03-27 21:03:41,-4.3589,-39.3117,75.85,90,98,2.93
268,Cheremukhovo,RU,2022-03-27 21:03:41,60.3484,59.9851,28.89,94,100,10.51
269,Kachiry,KZ,2022-03-27 21:03:42,53.0675,76.1036,14.38,98,95,3.4
270,Torrelavega,ES,2022-03-27 21:03:42,43.3494,-4.0479,60.46,72,32,5.37
271,Coos Bay,US,2022-03-27 21:00:45,43.3665,-124.2179,61.0,100,100,6.17
272,Hithadhoo,MV,2022-03-27 21:03:43,-0.6,73.0833,81.9,66,4,5.73
273,Olafsvik,IS,2022-03-27 21:03:43,64.8945,-23.7142,32.65,71,100,24.27
274,Sokolo,ML,2022-03-27 21:03:44,14.7328,-6.1219,93.76,19,57,6.29
275,El Carmen,CO,2022-03-27 21:03:44,8.5106,-73.4478,78.28,74,100,2.24
276,Yizheng,CN,2022-03-27 21:03:44,24.6706,103.4296,45.07,96,54,2.46
277,Taraz,KZ,2022-03-27 21:04:45,42.9,71.3667,34.21,86,6,4.47
278,Pisco,PE,2022-03-27 20:54:53,-13.7,-76.2167,77.05,65,0,18.41
279,Hambantota,LK,2022-03-27 20:56:08,6.1241,81.1185,77.34,100,0,4.61
280,Kloulklubed,PW,2022-03-27 21:04:46,7.0419,134.2556,79.3,78,92,19.35
281,Atasu,KZ,2022-03-27 21:04:46,48.6814,71.6433,25.77,97,96,9.8
282,Namtsy,RU,2022-03-27 21:04:47,62.7161,129.6658,7.54,96,100,5.79
283,Camana,PE,2022-03-27 21:04:47,-16.6228,-72.7111,72.9,76,83,8.1
284,Maarianhamina,AX,2022-03-27 21:04:47,60.0973,19.9348,44.46,61,0,12.66
285,Leshukonskoye,RU,2022-03-27 21:04:48,64.8989,45.7622,13.3,78,100,12.73
286,Sungurlu,TR,2022-03-27 21:04:48,40.1675,34.3739,40.01,66,3,4.23
287,Samarai,PG,2022-03-27 21:04:49,-10.6167,150.6667,81.52,78,100,3.58
288,Toora-Khem,RU,2022-03-27 21:04:49,52.4675,96.11,0.99,99,100,2.51
289,Alim,PH,2022-03-27 21:04:50,9.5649,122.4876,78.8,78,95,6.82
290,Seoul,KR,2022-03-27 21:02:09,37.5683,126.9778,33.24,28,3,1.52
291,Manado,ID,2022-03-27 21:04:46,1.487,124.8455,75.97,94,20,2.3
292,Aguada De Pasajeros,CU,2022-03-27 21:04:51,22.385,-80.8508,82.83,25,1,15.79
293,Soyo,AO,2022-03-27 21:04:51,-6.1349,12.3689,80.85,91,100,10.07
294,Poum,NC,2022-03-27 21:01:49,-20.2333,164.0167,80.28,76,31,15.1
