City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
489,Lar,IN,88.16,clear sky,26.2039,83.9717,Ovaiskarni ward Lar
494,Kloulklubed,PW,79.3,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
497,Sal Rei,CV,75.4,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
500,Ipixuna,BR,84.69,moderate rain,-1.7625,-48.8043,Chalé do Mato
501,Poum,NC,81.75,overcast clouds,-20.2333,164.0167,
503,Garowe,SO,89.62,scattered clouds,8.4054,48.4845,Curubo Hotel
505,Grand Gaube,MU,81.0,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
507,Quelimane,MZ,85.95,few clouds,-17.8786,36.8883,Hotel Flamingo
509,Dakar,SN,76.08,broken clouds,14.6937,-17.4441,Novotel Dakar
513,Nizwa,OM,87.53,clear sky,22.9333,57.5333,Orient Apartments
515,Angoche,MZ,79.9,clear sky,-16.2325,39.9086,Guest House HESADA
521,Kollam,IN,81.34,moderate rain,8.8833,76.6,The Raviz Ashtamudi
526,Libreville,GA,84.7,scattered clouds,0.3925,9.4537,Le Méridien Re-Ndama
534,Itaituba,BR,75.36,overcast clouds,-4.2761,-55.9836,Hotel Campos
537,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
538,Mizdah,LY,78.53,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
541,Ende,ID,77.4,scattered clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
542,Yabassi,CM,89.17,light rain,4.457,9.9682,MOTEL FOMI
546,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
547,Vilhena,BR,79.02,scattered clouds,-12.7406,-60.1458,Hotel Mirage
549,Melchor De Mencos,GT,78.8,clear sky,17.0686,-89.1522,Xultun Farm
551,Lalibela,ET,75.83,broken clouds,12.0333,39.0333,Honey Land Hotel Lalibela
555,Tucurui,BR,83.73,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
561,Amapa,BR,79.27,overcast clouds,1.0,-52.0,
568,Sao Felix Do Xingu,BR,82.62,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
575,Bambanglipuro,ID,78.06,light rain,-7.95,110.2833,Puri Brata
577,Takoradi,GH,88.92,overcast clouds,4.8845,-1.7554,Raybow International Hotel
578,Ormara,PK,78.24,clear sky,25.2088,64.6357,Kenara Colony house for Rent
581,Banda Aceh,ID,78.06,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
583,Port Moresby,PG,76.42,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
584,Bireun,ID,78.98,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
587,Mimongo,GA,80.22,light rain,-1.6195,11.6068,
589,Bilsanda,IN,84.6,clear sky,28.25,79.95,Anuj sainy
591,Nisia Floresta,BR,84.58,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
599,Tala,EG,83.17,scattered clouds,30.6803,30.9429,وي
603,Sao Joao Da Barra,BR,86.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
606,Manali,IN,86.09,clear sky,13.1667,80.2667,Sarathy Lodge
609,Lucea,JM,80.85,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
610,Piacabucu,BR,84.33,broken clouds,-10.4056,-36.4344,Piaçabuçu News
611,Salalah,OM,87.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
616,La Romana,DO,79.16,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
617,Siteki,SZ,79.72,light rain,-26.45,31.95,Siteki Hotel
618,Bontang,ID,77.5,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
620,Rio Verde De Mato Grosso,BR,84.52,few clouds,-18.9181,-54.8442,Quedas Palace Hotel
623,Maningrida,AU,80.31,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
625,Marzuq,YE,78.69,clear sky,14.4,46.4667,
630,Mian Channun,PK,83.12,scattered clouds,30.44,72.3543,Fateh Din Colony
635,Palu,ID,76.32,light rain,-0.8917,119.8707,Hotel Santika Palu
637,Barghat,IN,89.11,clear sky,22.0333,79.7167,Malgudi Square
639,Tabou,CI,86.11,overcast clouds,4.423,-7.3528,hotêl doufoulougou
642,Sechura,PE,75.34,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
643,Port Keats,AU,80.2,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
646,Jiwani,PK,80.13,few clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
653,Bonthe,SL,85.78,broken clouds,7.5264,-12.505,Bonthe Holiday Village
656,Tual,ID,82.42,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
666,Saurikh,IN,88.97,clear sky,27.029,79.4896,Raza Biryani& Shami Kabab Shop
667,Luanda,AO,79.65,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
669,Simbahan,PH,80.42,broken clouds,6.3032,120.5836,
670,Ilebo,CD,88.32,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
675,Nenton,GT,82.42,few clouds,15.8,-91.75,Hotel Las Peñas
677,Cerro Blanco,HN,77.99,clear sky,14.6667,-87.7833,
679,Guajara,BR,76.14,very heavy rain,-2.9667,-57.6667,
682,Khargupur,IN,85.96,clear sky,27.3833,81.9833,MD Tufail Ansari ansaar nager karbla
685,Bafq,IR,81.88,few clouds,31.6128,55.4107,Alamdar Hotel
687,Gat,IL,79.39,broken clouds,31.61,34.7642,OlusHome
689,Parauna,BR,81.39,clear sky,-16.9478,-50.4486,Hotel Serras de Paraúna
690,Lubuk Pakam,ID,78.94,overcast clouds,3.5604,98.8767,OYO 2538 Hotel Anugerah
694,Palmerston,AU,80.58,clear sky,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
695,Ribas Do Rio Pardo,BR,84.43,few clouds,-20.4431,-53.7592,Pousada Avenida
697,Sibu,MY,75.51,heavy intensity rain,2.3,111.8167,RH HOTEL (4 Star)
